iter	Passed	Remaining
748	2359	790
749	2373	791
750	2374	787
751	2375	783
752	2376	779
753	2379	776
754	2380	772
755	2381	768
756	2382	764
757	2383	761
758	2385	757
759	2386	753
760	2387	749
761	2388	745
762	2389	742
763	2390	738
764	2391	734
765	2392	730
766	2415	733
767	2417	730
768	2418	726
769	2419	722
770	2420	718
771	2421	715
772	2422	711
773	2423	707
774	2425	704
775	2426	700
776	2433	698
777	2434	694
778	2435	690
779	2436	687
780	2437	683
781	2438	679
782	2439	676
783	2440	672
784	2441	668
785	2442	665
786	2446	662
787	2447	658
788	2448	654
789	2449	651
790	2451	647
791	2452	643
792	2453	640
793	2454	636
794	2455	633
795	2456	629
796	2465	628
797	2467	624
798	2468	620
799	2469	617
800	2470	613
801	2472	610
802	2473	606
803	2475	603
804	2478	600
805	2479	596
806	2480	593
807	2482	589
808	2483	586
809	2484	582
810	2485	579
811	2486	575
812	2487	572
813	2488	568
814	2489	565
815	2490	561
816	2499	559
817	2500	556
818	2501	552
819	2502	549
820	2503	545
821	2504	542
822	2506	538
823	2507	535
824	2510	532
825	2512	529
826	2513	525
827	2514	522
828	2515	518
829	2517	515
830	2518	512
831	2519	508
832	2520	505
833	2521	501
834	2522	498
835	2523	495
836	2527	492
837	2528	488
838	2529	485
839	2530	482
840	2531	478
841	2532	475
842	2533	471
843	2535	468
844	2536	465
845	2537	461
846	2538	458
847	2539	455
848	2562	455
849	2563	452
850	2564	449
851	2566	445
852	2567	442
853	2568	439
854	2569	435
855	2570	432
856	2571	429
857	2572	425
858	2577	423
859	2578	419
860	2580	416
861	2581	413
862	2582	409
863	2583	406
864	2584	403
865	2585	400
866	2586	396
867	2587	393
868	2588	390
869	2593	387
870	2595	384
871	2596	381
872	2598	377
873	2599	374
874	2600	371
875	2601	368
876	2602	365
877	2603	361
878	2605	358
879	2606	355
880	2607	352
881	2608	348
882	2609	345
883	2610	342
884	2614	339
885	2615	336
886	2617	333
887	2618	330
888	2619	327
889	2620	323
890	2621	320
891	2622	317
892	2624	314
893	2625	311
894	2626	308
895	2627	304
896	2629	301
897	2631	298
898	2632	295
899	2633	292
900	2634	289
901	2635	286
902	2636	283
903	2637	280
904	2638	277
905	2639	273
906	2641	270
907	2674	270
908	2675	267
909	2677	264
910	2678	261
911	2680	258
912	2681	255
913	2682	252
914	2683	249
915	2684	246
916	2685	243
917	2686	239
918	2687	236
919	2688	233
920	2693	231
921	2695	228
922	2696	224
923	2697	221
924	2698	218
925	2699	215
926	2701	212
927	2702	209
928	2703	206
929	2704	203
930	2705	200
931	2712	197
932	2713	194
933	2714	191
934	2715	188
935	2716	185
936	2718	182
937	2719	179
938	2720	176
939	2721	173
940	2742	171
941	2746	169
942	2747	166
943	2749	163
944	2750	160
945	2751	157
946	2752	154
947	2753	151
948	2754	148
949	2762	145
950	2763	142
951	2764	139
952	2766	136
953	2767	133
954	2769	130
955	2770	127
956	2774	124
957	2775	121
958	2777	118
959	2778	115
960	2779	112
961	2781	109
962	2782	106
963	2783	103
964	2784	101
965	2785	98
966	2792	95
967	2794	92
968	2795	89
969	2796	86
970	2798	83
971	2799	80
972	2800	77
973	2801	74
974	2802	71
975	2805	68
976	2807	66
977	2808	63
978	2809	60
979	2810	57
980	2811	54
981	2813	51
982	2814	48
983	2815	45
984	2816	42
985	2817	40
986	2818	37
987	2828	34
988	2829	31
989	2830	28
990	2831	25
991	2832	22
992	2833	19
993	2834	17
994	2838	14
995	2839	11
996	2841	8
997	2842	5
998	2843	2
999	2844	0
